Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
The Mark of Athena (Heroes of Olympus Book 3),['Rick Riordan'],ePUB,12.99,12.99,0141967560,2012-10-02,Penguin Random House Children's UK,592
The Five Dysfunctions of a Team,['Patrick M. Lencioni'],ePUB,32.99,32.99,0470893869,2010-06-03,Wiley Professional Development (P&T),240
Christmas Bells,['Jennifer Chiaverini'],ePUB,20.57,16.99,0698407091,2015-10-27,Penguin Publishing Group,
The 7 Habits Of Highly Effective Teenagers,['Sean Covey'],ePUB,16.99,16.99,0857206478,2011-03-31,Simon & Schuster UK,288
Nineteen Eighty-Four,"['George Orwell', 'Thomas Pynchon']",ePUB,10.99,10.99,0141919957,2004-01-29,Penguin Books Ltd,400
The King's Men,['Nora Sakavic'],ePUB,1.43,1.43,1310839697,2015-05-19,Nora Sakavic,
I'm a T. Rex!,"['Dennis R. Shealy', 'Brian Biggs']",ePUB,8.79,7.99,0307978885,2012-04-25,Random House Children's Books,
Dracula,['Bram Stoker'],ePUB,1.45,1.45,0486114759,2012-02-06,Dover Publications,336
Lucy Sullivan is Getting Married,['Marian Keyes'],ePUB,15.99,15.99,1405935162,2017-07-13,Penguin Books Ltd,672
The Beach,['Alex Garland'],ePUB,15.99,15.99,0141941448,2007-07-05,Penguin Books Ltd,448
The Green Mile,['Stephen King'],ePUB,13.99,13.99,0575087307,2010-11-25,Orion,448
Persuasion,['Jane Austen'],ePUB,3.99,3.99,0553904566,2008-01-29,Random House Publishing Group,
The Crowded Grave,['Martin Walker'],ePUB,11.99,11.99,0857389572,2011-10-29,Quercus,320
Eeny Meeny,['M. J. Arlidge'],ePUB,15.99,15.99,1405914890,2014-05-08,Penguin Books Ltd,464
Tao Te Ching,"['Lao Tzu', 'D. C. Lau']",ePUB,10.99,10.99,014192232X,2000-01-01,Penguin Books Ltd,192
Bonk,['Mary Roach'],ePUB,17.5,15.95,0393069214,2009-04-06,,336
Midnight in the Garden of Good and Evil,['John Berendt'],ePUB,25.7,20.99,0307538370,2010-05-12,Knopf Doubleday Publishing Group,
The Cake Bible,['Rose Levy Beranbaum'],ePUB,42.99,42.99,0544859561,2016-09-06,HarperCollins,560
Book not found for ISBN 9780061949098,,,,,,,,
A Liverpool Legacy,['Anne Baker'],Paperback,27.75,27.75,0755399609,2014-06-05,Headline,384
The Rainmaker,['John Grisham'],ePUB,15.99,15.99,140705919X,2010-04-21,Random House,720
Book not found for ISBN 9780230770072,,,,,,,,
The Queen and I,['Sue Townsend'],ePUB,15.99,15.99,0141938331,2002-11-28,Penguin Books Ltd,288
The Murder Room,['P. D. James'],ePUB,14.29,12.99,0571247032,2008-09-04,Faber & Faber,320
Fatal Cut,['June Hampson'],ePUB,11.99,11.99,1409106969,2009-04-16,Orion,320
Thor,"['Jason Aaron', 'Esad Ribic']",ePUB,13.19,10.99,1302013769,2014-04-02,Marvel Entertainment,
Born Fearless,['Phil Campion'],ePUB,12.99,12.99,0857384414,2011-09-25,Quercus,352
All the Bright Places,['Jennifer Niven'],ePUB,12.99,12.99,0141357045,2015-01-08,Penguin Random House Children's UK,300
The Prize,['Julie Garwood'],ePUB,5.99,5.99,1101533471,2011-07-05,Penguin Publishing Group,1
Alone in Berlin,"['Hans Fallada', 'Michael Hofmann']",ePUB,15.99,15.99,0141908734,2010-01-28,Penguin Books Ltd,608
Exit West,['Mohsin Hamid'],ePUB,15.99,15.99,0241979072,2017-03-02,Penguin Books Ltd,240
The Wicked King,['Holly Black'],ePUB,18.99,18.99,0316310336,2019-01-08,"Little, Brown Books for Young Readers",336
Let's Explore Diabetes With Owls,['David Sedaris'],ePUB,12.99,12.99,0748123059,2013-04-23,"Little, Brown Book Group",288
Night Watch,['Terry Pratchett'],ePUB,15.99,15.99,1407035320,2009-12-01,Transworld,480
The Autobiography of Saint Therese,['John Beevers'],ePUB,22.01,17.99,0307778088,2011-01-26,Random House Publishing Group,
Safe Haven,['Nicholas Sparks'],ePUB,11.99,11.99,0748122664,2010-09-02,"Little, Brown Book Group",320
The Bhagavad Gita,['Laurie L. Patton'],ePUB,14.99,14.99,0141396210,2014-05-01,Penguin Books Ltd,288
My Mother's Secret,['J.L. Witterick'],ePUB,23.99,19.99,0698151526,2013-09-05,Penguin Publishing Group,208
The Language Instinct,['Steven Pinker'],ePUB,16.99,16.99,0141929685,2003-02-27,Penguin Books Ltd,496
The Spy and the Traitor,['Ben Macintyre'],Hardcover,43.75,43.75,1101904194,2018-09-18,Crown Publishing Group (NY),368
Ancillary Sword,['Ann Leckie'],ePUB,11.99,11.99,1405525851,2014-10-07,"Little, Brown Book Group",384
Harriet Tubman,['Catherine Clinton'],ePUB,21.99,21.99,0759509778,2004-02-02,"Little, Brown and Company",300
The Art of Statistics,['David Spiegelhalter'],ePUB,15.99,15.99,0241258758,2019-03-28,Penguin Books Ltd,256
Book not found for ISBN 9780230760387,,,,,,,,
Healing Back Pain,['John E. Sarno'],ePUB,12.99,12.99,0759520844,2001-03-15,Grand Central Publishing,300
A Walk In The Park,['Jill Mansell'],ePUB,12.99,12.99,0755355970,2012-02-16,Headline,362
Redeeming Your Bloodline,['Hrvoje Sirovina'],Paperback,36.61,36.61,0768448883,2019-05-01,SOUND WISDOM,224
The Lollipop Shoes (Chocolat 2),['Joanne Harris'],ePUB,15.99,15.99,1407039652,2010-07-06,Transworld,592
Liar Liar,['M. J. Arlidge'],ePUB,15.99,15.99,1405919221,2015-09-10,Penguin Books Ltd,314
The Sleep Of Reason,['C.P. Snow'],PDF,14.9,14.9,0755118510,2010-01-16,,452
A Clockwork Orange,"['Anthony Burgess', 'Blake Morrison']",ePUB,15.99,15.99,0141908327,2011-08-04,Penguin Books Ltd,176
10 Minutes 38 Seconds in this Strange World,['Elif Shafak'],ePUB,15.99,15.99,0241979455,2019-06-06,Penguin Books Ltd,368
Midnight at the Blackbird Cafe,['Heather Webber'],ePUB,19.5,15.99,1250198607,2019-07-16,Tor Publishing Group,
Quick & Clever Watercolor Pencils,['Charles Evans'],PDF,30.9,30.9,0715335545,2006-04-15,DAVID & CHARLES               ,128
The Scottish Clearances,['T. M. Devine'],ePUB,15.99,15.99,0141985941,2018-10-04,Penguin Books Ltd,400
Ask and It Is Given,"['Esther Hicks', 'Jerry Hicks', 'Dr. Wayne W. Dyer']",ePUB,18.34,14.99,1401919278,2004-10-01,Hay House,314
The 2020 Commission Report on the North Korean Nuclear Attacks Against The United States,['Dr Jeffrey Lewis'],ePUB,15.99,15.99,0753553171,2018-08-07,Ebury Publishing,304
No One Is Too Small to Make a Difference,['Greta Thunberg'],ePUB,14.99,14.99,0141991755,2019-05-30,Penguin Books Ltd,80
Gypsy,['Lesley Pearse'],ePUB,15.99,15.99,014191033X,2008-07-14,Penguin Books Ltd,544
The Polyvagal Theory in Therapy,['Deb Dana'],ePUB,51.34,41.99,0393712389,2018-06-12,W. W. Norton & Company,
How to Make People Like You in 90 Seconds or Less,['Nicholas Boothman'],ePUB,19.99,19.99,0761148426,2008-07-02,Workman Publishing Company,203
Quran In English. Modern English Translation. Clear and Easy to Understand.,['Talal Itani'],ePUB,0,0,1310198373,2015-05-17,Talal Itani,
